"max_score","subject_ID","match"
29.2,"299",0
50.017,"300",0
23.921,"301",0
14.961,"302",0
32.707,"303",0
23.254,"304",0
24.527,"305",0
46.865,"306",0
27.891,"307",0
19.454,"308",0
20.284,"309",0
16.173,"310",0
62.359,"311",0
50.911,"312",0
69.163,"313",0
19.762,"314",0
47.747,"315",0
73.365,"316",0
36.3,"317",0
59.713,"318",0
17.324,"319",0
19.488,"320",0
18.416,"321",0
28.199,"322",0
35.523,"323",0
26.4,"324",0
24.303,"325",0
34.415,"326",0
43.548,"327",0
24.947,"328",0
36.262,"329",0
23.053,"330",0
23.411,"331",0
57.992,"332",0
18.084,"333",0
40.283,"334",0
22.128,"335",0
17.519,"336",0
13.343,"337",0
31.58,"338",0
36.125,"339",0
20.888,"340",0
39.996,"341",0
115.002,"342",1
24.52,"343",0
23.468,"344",0
23.727,"345",0
34.157,"346",0
26.851,"347",0
30.869,"348",0
27.15,"349",0
22.791,"350",0
60.922,"351",0
25.914,"352",0
20.431,"353",0
48.884,"354",0
40.276,"355",0
24.289,"356",0
18.313,"357",0
24.789,"358",0
14.628,"359",0
36.095,"360",0
18.324,"361",0
48.502,"362",0
23.411,"363",0
21.533,"364",0
24.455,"365",0
18.045,"366",0
18.614,"367",0
49.471,"368",0
12.464,"369",0
28.333,"370",0
12.077,"371",0
27.866,"372",0
12.13,"373",0
25.251,"374",0
52.054,"375",0
25.019,"376",0
59.526,"377",0
16.896,"378",0
44.1,"379",0
38.849,"380",0
35.488,"381",0
31.054,"382",0
27.685,"383",0
26.581,"384",0
18.02,"385",0
8.944,"386",0
25.815,"387",0
33.079,"388",0
23.595,"389",0
18.995,"390",0
66.651,"391",0
36.02,"392",0
24.68,"393",0
28.757,"394",1
28.423,"395",0
21.743,"396",0
33.094,"397",0
38.9,"398",0
38.711,"399",0
8.992,"400",0
9.363,"401",0
48.609,"402",0
53.997,"403",0
18.395,"404",0
21.887,"405",0
22.009,"406",0
66.728,"407",0
31.862,"408",0
81.704,"409",0
25.789,"410",0
53.88,"411",0
24.291,"412",0
23.123,"413",0
28.828,"414",0
37.963,"415",0
25.129,"416",0
24.373,"417",0
33.045,"418",0
23.264,"419",0
16.082,"420",0
59.806,"421",0
14.113,"422",0
52.653,"423",1
24.983,"424",0
31.582,"425",0
60.557,"426",0
24.858,"427",0
38.475,"428",0
34.251,"429",0
38.428,"430",0
22.724,"431",0
17.396,"432",0
28.43,"433",0
61.087,"434",0
53.772,"435",0
4.402,"436",0
48.929,"437",0
24.852,"438",0
41.531,"439",0
53.768,"440",0
49.771,"441",0
22.51,"442",0
38.009,"443",0
21.16,"444",0
26.343,"445",0
20.714,"446",0
133.435,"447",1
44.261,"448",0
16.419,"449",0
16.492,"450",0
22.814,"451",0
19.346,"452",0
27.557,"453",0
11.901,"454",0
31.212,"455",0
45.886,"456",0
19.989,"457",0
34.019,"458",0
33.78,"459",0
19.076,"460",0
8.416,"461",0
52.03,"462",0
23.888,"463",0
15.475,"464",0
39.655,"465",0
24.89,"466",0
42.278,"467",0
23.789,"468",0
15.665,"469",0
33.261,"470",0
21.161,"471",1
28.371,"472",0
19.781,"473",0
124.36,"474",1
24.482,"475",0
26.325,"476",0
26.327,"477",0
39.439,"478",0
30.131,"479",0
30.17,"480",0
29.243,"481",0
42.471,"482",0
13.356,"483",0
22.086,"484",0
55.876,"485",0
21.189,"486",0
38.921,"487",0
24.244,"488",0
20.729,"489",0
48.663,"490",0
21.26,"491",0
27.761,"492",0
28.855,"493",0
37.21,"494",0
33.573,"495",0
27.747,"496",0
39.872,"497",0
26.624,"498",0
76.02,"499",1
20.603,"500",0
65.561,"501",1
45.059,"502",0
17.569,"503",0
13.701,"504",0
18.857,"505",0
27.607,"506",0
37.097,"507",0
25.197,"508",0
17.513,"509",0
27.508,"510",0
23.091,"511",0
20.549,"512",0
49.738,"513",0
17.517,"514",0
38.578,"515",0
46.062,"516",0
22.137,"517",0
24.966,"518",0
27.174,"519",0
25.073,"520",0
29.729,"521",0
65.89,"522",0
56.376,"523",0
23.07,"524",0
39.72,"525",0
33.378,"526",0
37.079,"527",0
44.751,"528",0
41.446,"529",0
39.702,"530",0
27.926,"531",0
25.189,"532",0
66.512,"533",0
16.297,"534",0
7.408,"535",0
20.609,"536",0
35.797,"537",0
40.171,"538",0
34.199,"539",0
29.517,"540",0
28.358,"541",0
44.983,"542",0
28.512,"543",0
19.48,"544",1
24.57,"545",0
40.513,"546",0
17.299,"547",0
19.7,"548",0
44.307,"549",0
35.059,"550",0
47.81,"551",0
52.401,"552",0
21.841,"553",0
50.272,"554",0
27.695,"555",0
24.591,"556",0
43.075,"557",0
24.579,"558",0
36.406,"559",0
25.831,"560",0
19.527,"561",0
22.488,"562",0
24.462,"563",0
28.406,"564",0
14.508,"565",0
33.707,"566",0
46.723,"567",0
41.286,"568",0
30.269,"569",0
30.056,"570",0
20.476,"571",0
34.873,"572",0
35.627,"573",0
57.053,"574",0
28.981,"575",0
36.738,"576",0
21.61,"577",0
35.156,"578",0
24.18,"579",0
9.379,"580",0
76.219,"581",0
24.887,"582",0
28.081,"583",0
17.863,"584",0
50.418,"585",0
31.563,"586",0
24.868,"587",0
30.122,"588",0
24.168,"589",0
33.555,"590",0
23.431,"591",0
19.341,"592",0
29.153,"593",0
16.378,"594",0
57.495,"595",0
17.285,"596",0
39.255,"597",0
45.486,"598",0
32.985,"599",0
17.704,"600",0
53.247,"601",0
